# ID,label,height,root_density,area,shape_index,linearity_top,planarity_top,sphericity_top,omnivariance_top,anisotropy_top,change_of_curvature_top,num_points
 100.00000,   1.00000,  14.29000,   0.01333,   8.86494,   0.71804,   0.69206,   0.28266,   0.02527,   0.18697,   0.97472,   0.01895, 150.00000
 101.00000,   1.00000,  12.48000,   0.00938,  10.28288,   0.78036,   0.43581,   0.52785,   0.03631,   0.08663,   0.96366,   0.02269, 320.00000
 102.00000,   1.00000,  14.71000,   0.00748,  11.17347,   0.81729,   0.38178,   0.54395,   0.07423,   0.09698,   0.92573,   0.04386, 401.00000
 103.00000,   1.00000,   8.52000,   0.01266,   9.25116,   0.75408,   0.32285,   0.64846,   0.02865,   0.07365,   0.97131,   0.01680, 316.00000
 104.00000,   1.00000,   5.31000,   0.00888,  12.52937,   0.80291,   0.15654,   0.60100,   0.24242,   0.15237,   0.75754,   0.11622, 338.00000
 105.00000,   1.00000,  13.24000,   0.00968,   9.09471,   0.74928,   0.20666,   0.75088,   0.04242,   0.07799,   0.95754,   0.02311, 310.00000
 106.00000,   1.00000,   7.73000,   0.01250,   8.19102,   0.64723,   0.70844,   0.27081,   0.02073,   0.10931,   0.97925,   0.01580, 160.00000
 107.00000,   1.00000,   5.83000,   0.00595,   8.39160,   0.72759,   0.37018,   0.57969,   0.05010,   0.08817,   0.94987,   0.02982, 336.00000
 108.00000,   1.00000,   5.93000,   0.02618,   6.29159,   0.61850,   0.57513,   0.39402,   0.03082,   0.08985,   0.96916,   0.02117, 191.00000
 109.00000,   1.00000,   6.96000,   0.00746,   7.17418,   0.65813,   0.14414,   0.81662,   0.03920,   0.07350,   0.96076,   0.02069, 268.00000
 110.00000,   1.00000,   8.04000,   0.00586,  14.89493,   0.91949,   0.59337,   0.27080,   0.13581,   0.17297,   0.86417,   0.08805, 512.00000
 111.00000,   1.00000,   8.13000,   0.01355,  10.33004,   0.78798,   0.37367,   0.59313,   0.03316,   0.07399,   0.96680,   0.01998, 369.00000
 112.00000,   1.00000,   6.47000,   0.01786,   8.30412,   0.67414,   0.71602,   0.23918,   0.04479,   0.17945,   0.95520,   0.03371, 168.00000
 113.00000,   1.00000,   6.66000,   0.00683,   9.62433,   0.77411,   0.48948,   0.49532,   0.01516,   0.05733,   0.98481,   0.00994, 293.00000
 114.00000,   1.00000,   7.11000,   0.00723,  13.89010,   0.91070,   0.35890,   0.52434,   0.11673,   0.14531,   0.88324,   0.06641, 415.00000
 115.00000,   1.00000,  13.19000,   0.01761,   8.17458,   0.68136,   0.53582,   0.42095,   0.04320,   0.08541,   0.95677,   0.02866, 284.00000
 116.00000,   1.00000,   5.80000,   0.01653,   5.60289,   0.59631,   0.42900,   0.38107,   0.18990,   0.13195,   0.81007,   0.10784, 242.00000
 117.00000,   1.00000,   9.05000,   0.01014,   8.62659,   0.70625,   0.08752,   0.88019,   0.03225,   0.07453,   0.96771,   0.01659, 296.00000
 118.00000,   1.00000,   5.60000,   0.02312,   6.61419,   0.61564,   0.68526,   0.28309,   0.03163,   0.11486,   0.96835,   0.02349, 173.00000
 119.00000,   1.00000,   7.39000,   0.00633,   8.18475,   0.67432,   0.67248,   0.30354,   0.02397,   0.14975,   0.97602,   0.01774, 158.00000
 120.00000,   1.00000,  13.78000,   0.01282,   7.13160,   0.67450,   0.63055,   0.33357,   0.03586,   0.15139,   0.96412,   0.02552, 156.00000
 121.00000,   1.00000,   9.40000,   0.03145,   7.61163,   0.64956,   0.62845,   0.33822,   0.03332,   0.16155,   0.96667,   0.02372, 159.00000
 122.00000,   1.00000,  11.39000,   0.03012,   8.59353,   0.74334,   0.55626,   0.38422,   0.05951,   0.20397,   0.94048,   0.03959, 166.00000
 123.00000,   1.00000,   7.83000,   0.02349,   8.72217,   0.71796,   0.75381,   0.22471,   0.02146,   0.08648,   0.97852,   0.01693, 298.00000
 124.00000,   1.00000,   6.60000,   0.00802,  12.87499,   0.85449,   0.47284,   0.34649,   0.18064,   0.15594,   0.81933,   0.10578, 499.00000
 125.00000,   1.00000,  11.46000,   0.01866,   7.79772,   0.69409,   0.57086,   0.40235,   0.02676,   0.08136,   0.97321,   0.01838, 268.00000
 126.00000,   1.00000,   9.37000,   0.01812,   8.00998,   0.71071,   0.06488,   0.75600,   0.17907,   0.12871,   0.82088,   0.08470, 276.00000
 127.00000,   1.00000,   8.59000,   0.00667,  14.68989,   0.94764,   0.40923,   0.54129,   0.04945,   0.09514,   0.95052,   0.03015, 450.00000
 128.00000,   1.00000,  14.24000,   0.00699,   6.81889,   0.64698,   0.66326,   0.31374,   0.02299,   0.15343,   0.97700,   0.01691, 143.00000
 129.00000,   1.00000,   7.71000,   0.01415,  10.78225,   0.78839,   0.50806,   0.43668,   0.05523,   0.09551,   0.94474,   0.03570, 424.00000
 130.00000,   1.00000,   6.09000,   0.00311,   8.81977,   0.73987,   0.46397,   0.47798,   0.05801,   0.09243,   0.94195,   0.03640, 322.00000
 131.00000,   1.00000,   5.82000,   0.00857,   9.88334,   0.77274,   0.61629,   0.35380,   0.02988,   0.07904,   0.97009,   0.02114, 350.00000
 132.00000,   1.00000,   6.55000,   0.00898,   8.95834,   0.73332,   0.52413,   0.41889,   0.05696,   0.10144,   0.94301,   0.03716, 334.00000
 133.00000,   1.00000,  13.42000,   0.00990,  10.94272,   0.80483,   0.25132,   0.65643,   0.09221,   0.11442,   0.90775,   0.05009, 404.00000
